timestamp,x_px,y_px
11409.762998267,149.375531498407,230.4296040052949
11410.84151759,151.14801371326212,230.50276696703338
11411.030732538,154.32424364794525,230.71186915462735
11411.352396653,157.6032401205655,230.94959701379565
11411.617295767,160.871417589594,231.11468447287058
11411.957882174,165.41691704560907,231.43999418255882
11412.184939309,170.19373503113187,231.80878631621437
11412.506602799,174.05714000547482,232.00088022820503
11412.752581497,178.03984356403305,232.05563321387928
11413.093168111,182.63990789326175,231.85687124259434
11413.812182174,186.83110199605068,231.13622287342497
11413.906790142,189.42770986945885,230.0438768037584
11414.247375351,191.97898532758273,228.954929911231
11414.436590663,194.62200593952616,227.70608579755896
11414.758255351,197.94818864544783,226.05151331366233
11415.023154934,201.11616116744509,224.62478613451083
11415.382662538,204.11740415864818,223.58101366059958
11415.590799361,207.2359956662089,222.93654847314886
11415.93138483,210.66659574951845,222.67284912254806
11416.158442382,215.33221625323284,222.16949931355117
11416.51795009,219.4028256517464,221.65931212300904
11416.745007695,222.37695054992224,221.42057696467464
11417.10451634,225.05086374520403,221.81447550490861
11417.312652486,228.8603262569721,222.05886013001097
11417.67215957,232.79955620084385,221.74595311428396
11417.880295663,235.86827687907055,221.41519003964652
11418.201960715,239.85459106869035,220.9638382200819
11418.46686207,245.05787698395181,220.40408186063706
11418.807447799,250.31690427037867,219.9861780509612
11419.034505455,255.26942250944322,219.94751798594484
11419.299406861,259.33736452916696,220.13853067117108
11419.583228945,262.74299137276205,220.01566972578854
11419.88597259,266.5427746673737,219.65307222452162
11420.188716184,270.7005588722709,219.48363295155406
11420.737439049,274.28230959971813,219.4774190500714
11421.078024934,278.2318577245197,219.61940833134554
11421.305082695,282.96113107309304,219.84389489288395
11421.607825954,286.2003673927487,220.03223608479374
11421.891648141,288.91892053748893,219.99301155686572
11422.232235693,291.72075250832745,219.8135202085533
11422.459293558,295.10695756927004,219.63743672517958
11422.818801058002,298.96112805641064,219.5170047783052
11423.064781162,303.5616315165264,219.4330369342245
11423.367525016,309.34671570988905,219.39183512973023
11423.651346631,314.6498228417636,219.43812800428498
11424.010854964,318.7128552591268,219.46137526462434
11424.237912933,322.48796693050116,219.42952389381819
11424.635264391,325.71536554592325,219.4571855895455
11424.843400797,328.08691160201636,219.49211666807662
11425.221830797002,330.55954677544946,219.50214331782746
11425.448888818,333.2626598721039,219.55702289993718
11425.846240433,336.0258457771427,219.56149721364102
11427.076139131,339.8513784824421,219.5142066526764
11427.700549026,343.1569566532548,220.63281612474475
11427.984371735,343.8573627502227,223.16527627796393
11428.306037464,343.7127398445938,226.10267374185258
11428.684467829,343.66479019174994,229.2450855845422
11428.930446735,343.8462493331554,232.19689467890038
11429.25211262,344.3962747629556,235.41398433761282
11429.517014704,345.36331785472714,237.89649497623458
11429.85760137,345.6174040459121,239.18978100246306
11430.103581943,345.22019703954095,238.99436053245262
11430.425247881,345.47149372795576,239.23738381920896
11430.690148506,346.1737245436288,243.40301690689864
11431.049657464,346.8232912720024,249.35396285018194
11431.276715849,347.5391933607917,255.3734002624076
11431.598381943,348.3645987935623,261.92937639261527
11431.882204912,349.07287249483704,267.9082067758504
11432.222793349,349.71853044252987,272.40509997086633
11432.468773297,350.7416243893641,276.3036711850947
11432.790438662,351.6834168654,278.92691380523877
11433.055341006,352.19683564923577,280.8949042756117
11433.339163349,352.64275387045797,283.63220605047485
11433.641908037,352.94229829980605,286.24198140438887
11433.963575068,353.2008867276568,288.80056165218815
11434.20955512,353.36785518428974,291.3572108788592
11434.644750745,353.2556487331033,293.6634780880748
11435.363768818,353.29398818446384,295.8752804840973
11436.139552516,353.90074287558804,298.0819633789978
11436.442297464,356.15319599223903,299.7335920584999
11437.766807516,359.2026725318364,299.5705810056049
11438.37229762,361.20296436868813,298.1352489102396
11439.034552568,363.5094679859875,296.6360221539195
11439.318375381,366.0207330388723,295.5944990762398
11439.942788089,367.9420188648229,294.88840823729873
11440.340141214,369.35621430514857,294.03978241919083
11440.548278558,371.1421275191625,292.8741091193441
11440.907787829,373.59528182123097,291.96380566988296
