method_key,method,section,kind,file,route,group,seed,has_ground_truth,steps,extinctions,final_x,final_y,trajectory,rmse_m,mean_error_m,max_error_m,excluded_points,held_end_points
B_fixed,固定粒子数PF,7.2,main,pdr_log_0805_1442.csv,,h0,777.0,False,76,6.0,526.6,205.0,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\B_fixed\seed-777\pdr_log_0805_1442_traj_none-manual_android-walking_pf-fixed600_seed-777.csv,,,,,
B_fixed,固定粒子数PF,7.2,main,pdr_log_0805_1442.csv,,h0,2024.0,False,76,0.0,643.6,141.8,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\B_fixed\seed-2024\pdr_log_0805_1442_traj_none-manual_android-walking_pf-fixed600_seed-2024.csv,,,,,
C_adaptive,移動様態適応PF,7.3,main,pdr_log_0805_1438.csv,,h0,1.0,False,105,10.0,38.1,308.3,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\C_adaptive\seed-1\pdr_log_0805_1438_traj_none-manual_android-walking_seed-1.csv,,,,,
C_adaptive,移動様態適応PF,7.3,main,pdr_log_0805_1438.csv,,h0,7.0,False,105,12.0,35.0,307.8,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\C_adaptive\seed-7\pdr_log_0805_1438_traj_none-manual_android-walking_seed-7.csv,,,,,
C_adaptive,移動様態適応PF,7.3,main,pdr_log_0805_1438.csv,,h0,42.0,False,105,11.0,35.8,307.5,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\C_adaptive\seed-42\pdr_log_0805_1438_traj_none-manual_android-walking_seed-42.csv,,,,,
C_adaptive,移動様態適応PF,7.3,main,pdr_log_0805_1438.csv,,h0,100.0,False,105,11.0,32.6,311.7,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\C_adaptive\seed-100\pdr_log_0805_1438_traj_none-manual_android-walking_seed-100.csv,,,,,
C_adaptive,移動様態適応PF,7.3,main,pdr_log_0805_1438.csv,,h0,777.0,False,105,11.0,37.7,312.0,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\C_adaptive\seed-777\pdr_log_0805_1438_traj_none-manual_android-walking_seed-777.csv,,,,,
C_adaptive,移動様態適応PF,7.3,main,pdr_log_0805_1438.csv,,h0,2024.0,False,105,11.0,34.8,307.3,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\C_adaptive\seed-2024\pdr_log_0805_1438_traj_none-manual_android-walking_seed-2024.csv,,,,,
C_adaptive,移動様態適応PF,7.3,main,pdr_log_0805_1441.csv,,h0,1.0,False,79,0.0,617.0,50.4,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\C_adaptive\seed-1\pdr_log_0805_1441_traj_none-manual_android-walking_seed-1.csv,,,,,
C_adaptive,移動様態適応PF,7.3,main,pdr_log_0805_1441.csv,,h0,7.0,False,79,0.0,607.1,48.2,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\C_adaptive\seed-7\pdr_log_0805_1441_traj_none-manual_android-walking_seed-7.csv,,,,,
C_adaptive,移動様態適応PF,7.3,main,pdr_log_0805_1441.csv,,h0,42.0,False,79,0.0,613.1,49.8,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\C_adaptive\seed-42\pdr_log_0805_1441_traj_none-manual_android-walking_seed-42.csv,,,,,
