timestamp,x_px,y_px
11175.222474816,104.63752081077496,234.90877421621147
11176.017104712,107.12068037138926,236.68688771655945
11176.471179556002,114.62669682162807,236.0717548737031
11177.379329764,123.99292928739067,233.1006772220241
11177.96584367,132.8391603429488,232.19852694978408
11178.646957004,142.33401734917686,231.78117205631253
11179.498349035,148.73804320609082,231.71643994580148
11180.103783566,154.46141155719624,231.6991660319062
11180.690298358,161.92997964303154,231.34158455571986
11181.030856274,170.53043054992781,230.55586462778206
11181.598450702,181.2016707234405,229.5250717472945
11182.525523306002,190.85429390755513,228.95764633171834
11183.11203867,198.47537413097314,228.88329543278923
11183.736393983,205.73670540587727,228.71615067161224
11184.114791118,214.85445559375358,228.26759575795876
11184.966185649,225.03483002041935,227.91572444726526
11185.571621327,232.17466929820338,227.8356166222028
11186.195976147,239.8399094896545,227.746112898879
11186.782492188,250.20015845550807,227.61313375329775
11187.331168542,260.4198868158782,227.51190668873295
11187.936604688,270.99012321175235,227.3627182253792
11188.542040886,279.2875889650251,226.95241032472651
11189.166396355,286.15635848572884,226.60292474813104
11189.771832813,294.09728647422304,226.56568690949712
11190.377269428,299.8108256274671,226.6717173122998
11190.982706147,304.4042948717084,226.86655085282422
11191.380024115,313.0841082324994,227.50623306690017
11191.928702084,321.6024293788446,228.3937662190233
11192.628738699,327.97079167469326,229.00431750252505
11193.21525599,333.1375859376633,229.32443344825694
11193.83961323,339.9736834691079,229.78132646887093
11194.728849584,348.03511294604004,230.93992813637493
11195.33428724,352.3060365588001,233.23811196019003
11195.674845157,352.62024820168847,236.70661268075122
11196.393803438,351.8417920852801,236.64286481128016
11196.96140073,351.0589193003564,235.04468382626905
11197.566838855,351.4276178180891,236.8380306106767
11198.229037761,356.5084954229298,238.733694853543
11198.834476199,365.63224167774973,240.0259194469824
11199.477753907,376.0976094235258,240.5856884825787
11200.102113438,387.8057860785457,240.4700189767082
11200.707552501,399.3493006362463,240.43671347376932
11201.331911824002,409.1200825305021,240.38855502521062
11202.202230626,415.4695008137121,240.3209688472166
11202.580630626,421.9976589750743,240.40146362047088
11203.432031772,432.75164716201266,240.4998486996255
11203.772591251,438.1645662473931,237.83662312892466
11204.642913022,438.68371316724154,234.8360576816849
11205.248353855,439.4405994551591,234.70336722736738
11205.702434636,438.3994584863129,235.48842344937566
11206.30787573,432.9477725312963,236.61974428219708
11206.894396147,425.1957679040969,237.61442311876255
11207.518758282,418.2150990694717,238.37239324379823
11208.12419974,410.82717838563434,238.8651266109442
11208.729641303,402.17257091676777,239.18854069155591
11209.562123647,391.8909282057931,239.53265649175395
11209.902683803,381.39726644873053,239.6800486456618
11210.735166407,371.5217882361037,239.67501684354932
11211.359528542,362.2491260164661,239.5973627219936
11211.964970678,352.2453956388616,239.62172394607592
11212.551492813,342.37629078438425,239.77713380622694
11213.138015938,333.1383393229896,239.8279446957102
11213.762377657,323.3789784692289,239.9332802344245
11214.34890099,313.6301904987474,240.05505227876583
11214.935423647,305.73900854627266,239.95392129452173
11215.540866511,298.53413566121884,239.7191234694144
11216.127388594,290.8037396515567,239.57743140687984
11216.713911511,281.21899797009314,239.52204665476057
11217.300435365,271.5568764111814,239.57762504649816
11217.924797969,262.8446055505856,239.80694171802213
11218.492401928,253.36212799371123,240.04171115670601
11219.097845469,243.61431513427323,240.0435109118083
11219.438406667,231.9110651451673,239.6836898974547
11220.289811928,220.56789935705945,239.66884706713375
11220.649294115,212.54002018636845,239.90748627983575
11221.519620626,204.8091710545578,240.21901245903064
11222.106143803,196.56061071161778,240.449540503837
11222.692667813,188.34814044510696,240.26175265368403
11223.298112136,181.57913989968642,240.18140971128997
11223.903556563,173.52454764785134,240.37225108289456
11224.244119949,162.77315099462214,240.4954300417952
11225.095526459,152.2705019722681,240.41393682150044
11225.682051094002,141.01187919608722,240.4758464809841
11226.28749599,129.88500551487166,240.53175675657886
11226.874020053,118.5407658263398,240.49512190569328
11227.479465157,106.30937981018141,240.26684594526458
11227.820028855002,94.84390278340325,239.9783345344087
11228.387633074,84.67516771987493,239.9307367425937
11229.276881042,75.69141333801028,239.96736716014715
11229.86340724,68.34552988045994,240.05650820343226
11230.241810834,60.020679004439785,240.13937415450513
11230.847256615,51.41146941731112,240.13766249630788
11231.736505365,43.4095853697022,240.00717934659022
11232.341951459,36.27510481292834,239.77602308031447
11233.26904099,35.00599739229001,237.25395328366773
11233.931247969002,35.66392616086094,235.27099575817965
11234.555614688,33.599441480285975,235.65030626754978
11235.236742136,30.818729985586444,237.57437643328348
11235.804347709,32.019118230339366,237.00749721016336
11236.958481719,34.118185734646296,234.10100851896428
11237.99909323,33.49174304203734,234.25517545511855
11238.680221459,32.165985073769065,237.13711041016927
11239.228909011,32.863916232086396,237.5208139348987
11239.645153386,35.4789433476067,236.00148523812516
11240.723607084,35.509662353538445,236.7058383215101
