heading_mode,sigma,seed,file,steps,extinctions,valid_ratio,route_ratio,neff_mean,pos_spread_mean,final_x,final_y,endpoint_error_x
samples,off,42,pdr_log_0805_1438.csv,105,0,0.545,0.625,278.5,1191.1,426.6,183.8,373.4
samples,off,42,pdr_log_0805_1441.csv,79,2,0.473,0.567,242.7,166.3,609.9,105.3,190.10000000000002
samples,off,42,pdr_log_0805_1442.csv,76,0,0.824,0.825,325.8,8529.0,542.1,149.2,257.9
samples,15.0,42,pdr_log_0805_1438.csv,105,2,0.354,0.411,174.4,34.2,83.3,234.3,716.7
samples,15.0,42,pdr_log_0805_1441.csv,79,1,0.581,0.634,249.9,23.5,500.7,106.6,299.3
samples,15.0,42,pdr_log_0805_1442.csv,76,0,0.825,0.859,324.2,62.6,660.4,139.1,139.60000000000002
samples,30.0,42,pdr_log_0805_1438.csv,105,1,0.329,0.387,168.7,35.8,95.2,224.5,704.8
samples,30.0,42,pdr_log_0805_1441.csv,79,2,0.525,0.608,239.8,33.1,479.6,108.7,320.4
samples,30.0,42,pdr_log_0805_1442.csv,76,0,0.816,0.851,326.1,68.6,659.3,138.9,140.70000000000005
samples,60.0,42,pdr_log_0805_1438.csv,105,0,0.365,0.43,195.0,70.7,145.7,238.1,654.3
samples,60.0,42,pdr_log_0805_1441.csv,79,3,0.527,0.614,244.7,85.7,504.8,107.6,295.2
samples,60.0,42,pdr_log_0805_1442.csv,76,0,0.811,0.834,316.1,197.4,662.7,123.3,137.29999999999995
samples,90.0,42,pdr_log_0805_1438.csv,105,0,0.513,0.565,254.4,486.7,409.5,204.9,390.5
samples,90.0,42,pdr_log_0805_1441.csv,79,2,0.492,0.586,243.6,150.5,619.6,105.9,180.39999999999998
samples,90.0,42,pdr_log_0805_1442.csv,76,0,0.821,0.843,323.8,404.6,666.4,122.2,133.60000000000002
walking,off,42,pdr_log_0805_1438.csv,105,0,0.725,0.769,339.3,330.2,52.3,219.9,747.7
walking,off,42,pdr_log_0805_1441.csv,79,0,0.795,0.801,314.8,1429.8,559.5,105.0,240.5
walking,off,42,pdr_log_0805_1442.csv,76,0,0.828,0.832,326.5,6811.8,591.2,139.4,208.79999999999995
walking,15.0,42,pdr_log_0805_1438.csv,105,1,0.772,0.815,331.0,61.0,51.8,231.3,748.2
walking,15.0,42,pdr_log_0805_1441.csv,79,0,0.808,0.839,321.2,58.9,626.7,106.3,173.29999999999995
walking,15.0,42,pdr_log_0805_1442.csv,76,0,0.815,0.847,321.5,59.4,654.0,135.7,146.0
walking,30.0,42,pdr_log_0805_1438.csv,105,1,0.656,0.715,306.1,44.7,46.2,227.2,753.8
walking,30.0,42,pdr_log_0805_1441.csv,79,0,0.837,0.851,327.9,64.9,630.4,106.5,169.60000000000002
walking,30.0,42,pdr_log_0805_1442.csv,76,0,0.809,0.841,319.6,79.0,665.6,136.5,134.39999999999998
walking,60.0,42,pdr_log_0805_1438.csv,105,1,0.657,0.707,302.3,71.6,48.1,231.2,751.9
walking,60.0,42,pdr_log_0805_1441.csv,79,0,0.827,0.839,318.0,135.1,626.3,106.9,173.70000000000005
walking,60.0,42,pdr_log_0805_1442.csv,76,0,0.816,0.833,313.2,521.1,663.7,125.4,136.29999999999995
walking,90.0,42,pdr_log_0805_1438.csv,105,1,0.652,0.702,312.1,122.9,56.4,232.1,743.6
walking,90.0,42,pdr_log_0805_1441.csv,79,0,0.822,0.83,318.1,312.2,635.0,120.1,165.0
walking,90.0,42,pdr_log_0805_1442.csv,76,0,0.816,0.845,325.3,261.2,658.9,122.6,141.10000000000002
