heading_mode,sigma,seed,file,steps,extinctions,valid_ratio,route_ratio,neff_mean,pos_spread_mean,final_x,final_y,endpoint_error_x
walking,150.0,100,pdr_log_0805_1441.csv,79,0,0.816,0.819,322.0,473.6,644.6,106.2,155.39999999999998
walking,150.0,100,pdr_log_0805_1442.csv,76,0,0.811,0.836,325.9,1117.7,679.0,120.3,121.0
walking,150.0,777,pdr_log_0805_1438.csv,105,0,0.74,0.778,338.0,257.2,56.2,228.8,743.8
walking,150.0,777,pdr_log_0805_1441.csv,79,0,0.818,0.816,316.3,921.7,646.8,106.5,153.20000000000005
walking,150.0,777,pdr_log_0805_1442.csv,76,0,0.82,0.831,320.9,1113.7,675.0,119.5,125.0
walking,150.0,2024,pdr_log_0805_1438.csv,105,0,0.729,0.779,336.2,280.4,55.0,227.0,745.0
walking,150.0,2024,pdr_log_0805_1441.csv,79,0,0.802,0.802,315.7,688.4,616.1,105.8,183.89999999999998
walking,150.0,2024,pdr_log_0805_1442.csv,76,0,0.822,0.842,329.8,1154.6,683.3,120.4,116.70000000000005
walking,200.0,1,pdr_log_0805_1438.csv,105,0,0.72,0.754,333.0,275.6,50.0,227.6,750.0
walking,200.0,1,pdr_log_0805_1441.csv,79,0,0.823,0.827,323.8,858.3,631.7,105.7,168.29999999999995
walking,200.0,1,pdr_log_0805_1442.csv,76,0,0.823,0.835,325.6,2014.3,659.4,124.8,140.60000000000002
walking,200.0,7,pdr_log_0805_1438.csv,105,0,0.747,0.787,343.6,346.8,54.6,225.2,745.4
walking,200.0,7,pdr_log_0805_1441.csv,79,0,0.814,0.824,321.3,700.8,637.2,122.9,162.79999999999995
walking,200.0,7,pdr_log_0805_1442.csv,76,0,0.818,0.833,322.5,1830.5,667.0,119.2,133.0
walking,200.0,42,pdr_log_0805_1438.csv,105,0,0.727,0.775,335.2,283.8,58.0,231.0,742.0
walking,200.0,42,pdr_log_0805_1441.csv,79,0,0.798,0.807,314.7,891.3,615.1,107.0,184.89999999999998
walking,200.0,42,pdr_log_0805_1442.csv,76,0,0.823,0.838,327.6,1918.4,672.3,118.6,127.70000000000005
walking,200.0,100,pdr_log_0805_1438.csv,105,1,0.632,0.699,316.3,246.1,53.3,226.2,746.7
walking,200.0,100,pdr_log_0805_1441.csv,79,0,0.801,0.808,322.3,573.0,653.7,105.1,146.29999999999995
walking,200.0,100,pdr_log_0805_1442.csv,76,0,0.822,0.841,330.7,676.5,672.1,119.4,127.89999999999998
walking,200.0,777,pdr_log_0805_1438.csv,105,0,0.728,0.773,335.0,381.3,61.1,228.2,738.9
walking,200.0,777,pdr_log_0805_1441.csv,79,0,0.818,0.821,323.5,663.2,639.0,106.0,161.0
walking,200.0,777,pdr_log_0805_1442.csv,76,0,0.819,0.836,328.3,2823.5,663.2,120.3,136.79999999999995
walking,200.0,2024,pdr_log_0805_1438.csv,105,0,0.73,0.78,337.2,293.3,56.1,228.8,743.9
walking,200.0,2024,pdr_log_0805_1441.csv,79,0,0.813,0.818,322.5,683.1,630.9,106.2,169.10000000000002
walking,200.0,2024,pdr_log_0805_1442.csv,76,0,0.819,0.832,324.4,2173.7,670.5,122.2,129.5
walking,300.0,1,pdr_log_0805_1438.csv,105,0,0.728,0.761,332.8,424.7,54.1,230.1,745.9
walking,300.0,1,pdr_log_0805_1441.csv,79,0,0.811,0.816,319.7,1215.9,545.6,106.8,254.39999999999998
walking,300.0,1,pdr_log_0805_1442.csv,76,0,0.817,0.826,322.1,2257.1,667.3,122.7,132.70000000000005
walking,300.0,7,pdr_log_0805_1438.csv,105,0,0.728,0.774,335.5,334.9,69.9,237.6,730.1
walking,300.0,7,pdr_log_0805_1441.csv,79,0,0.802,0.81,321.3,764.5,639.4,107.2,160.60000000000002
