heading_mode,sigma,seed,file,steps,extinctions,valid_ratio,route_ratio,neff_mean,pos_spread_mean,final_x,final_y,endpoint_error_x
samples,off,1,pdr_log_0805_1438.csv,105,0,0.519,0.599,269.9,968.6,411.8,175.2,388.2
samples,off,1,pdr_log_0805_1441.csv,79,2,0.515,0.574,251.1,355.9,629.8,107.8,170.20000000000005
samples,off,1,pdr_log_0805_1442.csv,76,0,0.824,0.829,326.5,5398.2,609.9,136.1,190.10000000000002
samples,off,7,pdr_log_0805_1438.csv,105,0,0.573,0.645,288.8,1512.0,435.9,141.8,364.1
samples,off,7,pdr_log_0805_1441.csv,79,1,0.528,0.612,257.9,325.1,434.9,168.3,365.1
samples,off,7,pdr_log_0805_1442.csv,76,0,0.82,0.825,324.3,4832.5,602.7,136.0,197.29999999999995
samples,off,42,pdr_log_0805_1438.csv,105,0,0.545,0.625,278.5,1191.1,426.6,183.8,373.4
samples,off,42,pdr_log_0805_1441.csv,79,2,0.473,0.567,242.7,166.3,609.9,105.3,190.10000000000002
samples,off,42,pdr_log_0805_1442.csv,76,0,0.824,0.825,325.8,8529.0,542.1,149.2,257.9
samples,off,100,pdr_log_0805_1438.csv,105,0,0.551,0.625,279.5,1026.3,400.9,199.7,399.1
samples,off,100,pdr_log_0805_1441.csv,79,1,0.567,0.643,260.0,213.9,607.1,117.6,192.89999999999998
samples,off,100,pdr_log_0805_1442.csv,76,0,0.821,0.817,323.6,8006.4,577.5,144.2,222.5
samples,off,777,pdr_log_0805_1438.csv,105,0,0.525,0.608,277.9,885.8,379.0,227.3,421.0
samples,off,777,pdr_log_0805_1441.csv,79,0,0.598,0.672,277.6,690.7,430.4,203.4,369.6
samples,off,777,pdr_log_0805_1442.csv,76,0,0.823,0.829,327.5,4827.7,629.3,128.2,170.70000000000005
samples,off,2024,pdr_log_0805_1438.csv,105,0,0.536,0.612,275.9,919.4,414.2,173.0,385.8
samples,off,2024,pdr_log_0805_1441.csv,79,2,0.498,0.588,252.5,164.4,621.5,105.6,178.5
samples,off,2024,pdr_log_0805_1442.csv,76,0,0.821,0.821,321.7,2486.6,656.4,129.1,143.60000000000002
samples,15.0,1,pdr_log_0805_1438.csv,105,2,0.37,0.406,171.3,25.2,81.9,236.1,718.1
samples,15.0,1,pdr_log_0805_1441.csv,79,2,0.523,0.614,218.7,24.5,504.0,105.7,296.0
samples,15.0,1,pdr_log_0805_1442.csv,76,0,0.82,0.855,328.4,65.8,659.2,140.9,140.79999999999995
samples,15.0,7,pdr_log_0805_1438.csv,105,2,0.357,0.418,174.8,28.7,99.1,236.9,700.9
samples,15.0,7,pdr_log_0805_1441.csv,79,3,0.479,0.561,222.4,31.4,588.8,106.0,211.20000000000005
samples,15.0,7,pdr_log_0805_1442.csv,76,0,0.813,0.839,321.8,71.0,663.4,138.5,136.60000000000002
samples,15.0,42,pdr_log_0805_1438.csv,105,2,0.354,0.411,174.4,34.2,83.3,234.3,716.7
samples,15.0,42,pdr_log_0805_1441.csv,79,1,0.581,0.634,249.9,23.5,500.7,106.6,299.3
samples,15.0,42,pdr_log_0805_1442.csv,76,0,0.825,0.859,324.2,62.6,660.4,139.1,139.60000000000002
samples,15.0,100,pdr_log_0805_1438.csv,105,2,0.365,0.427,190.8,33.8,78.0,240.3,722.0
samples,15.0,100,pdr_log_0805_1441.csv,79,5,0.461,0.556,230.6,31.6,556.8,107.0,243.20000000000005
samples,15.0,100,pdr_log_0805_1442.csv,76,0,0.82,0.849,325.8,62.3,663.7,139.3,136.29999999999995
samples,15.0,777,pdr_log_0805_1438.csv,105,6,0.41,0.475,207.7,49.3,414.2,237.9,385.8
samples,15.0,777,pdr_log_0805_1441.csv,79,4,0.509,0.599,237.4,28.9,587.7,108.3,212.29999999999995
