seq,label,point_type,x_px,y_px
1,east_end_wall,end,949.0,115.0
2,hw_design,wall,852.0,115.0
3,support_hw,wall,748.0,115.0
4,dev_support,wall,696.0,115.0
5,door_dev,door,650.0,115.0
6,door_ee_lab,door,520.0,115.0
7,server_dev,wall,489.0,115.0
8,corridor2_enter,corner,412.0,131.0
9,hall_enter,corner,386.0,230.0
10,door_ie5,door,350.0,230.0
11,door_rm103,door,260.0,230.0
12,rm101_rm103,wall,231.0,230.0
