seed,condition,file,steps,extinctions,valid_ratio,route_ratio,neff_mean,pos_spread_mean,final_x,final_y,endpoint_error_x
777,auto-enforce,pdr_log_0805_1441.csv,143,21,0.275,0.44,121.0,62.0,276.4,222.9,523.6
777,auto-enforce,pdr_log_0805_1442.csv,131,2,0.643,0.732,298.3,62.7,731.0,117.1,69.0
777,auto-enforce-unc,pdr_log_0805_1438.csv,197,22,0.383,0.628,205.0,57.0,330.8,236.7,469.2
777,auto-enforce-unc,pdr_log_0805_1441.csv,143,20,0.287,0.455,139.5,73.1,423.2,109.3,376.8
777,auto-enforce-unc,pdr_log_0805_1442.csv,131,2,0.662,0.752,272.3,69.3,729.3,119.9,70.70000000000005
2024,none,pdr_log_0805_1438.csv,197,13,0.522,1.0,266.8,123.6,369.9,310.4,430.1
2024,none,pdr_log_0805_1441.csv,143,16,0.355,1.0,162.6,74.2,302.7,139.2,497.3
2024,none,pdr_log_0805_1442.csv,131,15,0.469,1.0,219.0,96.8,485.4,258.3,314.6
2024,manual-enforce,pdr_log_0805_1438.csv,197,12,0.398,0.987,196.7,41.0,551.7,107.8,248.29999999999995
2024,manual-enforce,pdr_log_0805_1441.csv,143,13,0.379,0.873,168.8,36.2,428.1,107.1,371.9
2024,manual-enforce,pdr_log_0805_1442.csv,131,10,0.485,0.979,218.5,48.2,626.0,108.1,174.0
2024,auto-enforce,pdr_log_0805_1438.csv,197,24,0.393,0.628,200.5,69.5,317.5,236.9,482.5
2024,auto-enforce,pdr_log_0805_1441.csv,143,19,0.265,0.425,104.0,56.0,401.5,171.1,398.5
2024,auto-enforce,pdr_log_0805_1442.csv,131,2,0.635,0.723,294.8,56.9,729.6,119.1,70.39999999999998
2024,auto-enforce-unc,pdr_log_0805_1438.csv,197,22,0.37,0.613,197.7,52.5,292.5,236.1,507.5
2024,auto-enforce-unc,pdr_log_0805_1441.csv,143,20,0.226,0.386,119.1,54.7,293.6,225.4,506.4
2024,auto-enforce-unc,pdr_log_0805_1442.csv,131,2,0.677,0.769,280.4,48.6,731.3,119.5,68.70000000000005
