# sensitivity_uncertainty_particles.py の出力(本番、6シード)。不確実性適応粒子数の4パラメータのOFAT感度分析、15パラメータ組×seed={1,7,42,100,777,2024}×3ファイル=270行。結論: いずれの軸もベースライン(0.30/0.60/1.5/0.75)を明確に上回らず、初期値は妥当と確認(memo/uncertainty_particles.md、CLAUDE_MEMO.txt §8.2参照)。
combo,seed,file,neff_low_ratio,neff_high_ratio,boost_factor,shrink_factor,steps,extinctions,valid_ratio,route_ratio,neff_mean,pos_spread_mean,final_x,final_y,endpoint_error_x
neff_low_ratio=0.2,7,pdr_log_0805_1438.csv,0.2,0.6,1.5,0.75,197,22,0.37,0.622,189.4,57.8,307.9,237.8,492.1
neff_low_ratio=0.2,7,pdr_log_0805_1441.csv,0.2,0.6,1.5,0.75,143,19,0.257,0.416,125.6,52.9,325.3,224.0,474.7
neff_low_ratio=0.2,7,pdr_log_0805_1442.csv,0.2,0.6,1.5,0.75,131,2,0.623,0.725,254.6,42.9,727.6,116.7,72.39999999999998
neff_low_ratio=0.2,42,pdr_log_0805_1438.csv,0.2,0.6,1.5,0.75,197,23,0.379,0.628,192.1,67.5,345.6,240.4,454.4
neff_low_ratio=0.2,42,pdr_log_0805_1441.csv,0.2,0.6,1.5,0.75,143,19,0.318,0.453,142.7,53.6,487.2,109.1,312.8
neff_low_ratio=0.2,42,pdr_log_0805_1442.csv,0.2,0.6,1.5,0.75,131,3,0.654,0.733,262.2,75.5,729.3,114.4,70.70000000000005
neff_low_ratio=0.2,100,pdr_log_0805_1438.csv,0.2,0.6,1.5,0.75,197,22,0.38,0.621,196.3,52.5,285.0,241.1,515.0
neff_low_ratio=0.2,100,pdr_log_0805_1441.csv,0.2,0.6,1.5,0.75,143,20,0.276,0.435,129.5,60.5,449.6,108.6,350.4
neff_low_ratio=0.2,100,pdr_log_0805_1442.csv,0.2,0.6,1.5,0.75,131,3,0.663,0.751,268.9,74.6,727.6,115.5,72.39999999999998
neff_low_ratio=0.2,777,pdr_log_0805_1438.csv,0.2,0.6,1.5,0.75,197,22,0.372,0.616,192.8,53.3,281.1,237.7,518.9
neff_low_ratio=0.2,777,pdr_log_0805_1441.csv,0.2,0.6,1.5,0.75,143,20,0.238,0.407,118.5,52.5,304.6,221.6,495.4
neff_low_ratio=0.2,777,pdr_log_0805_1442.csv,0.2,0.6,1.5,0.75,131,2,0.679,0.761,269.7,57.6,739.7,117.0,60.299999999999955
neff_low_ratio=0.2,2024,pdr_log_0805_1438.csv,0.2,0.6,1.5,0.75,197,23,0.386,0.625,196.8,68.0,332.3,236.4,467.7
neff_low_ratio=0.2,2024,pdr_log_0805_1441.csv,0.2,0.6,1.5,0.75,143,20,0.256,0.425,126.5,56.6,265.6,224.7,534.4
neff_low_ratio=0.2,2024,pdr_log_0805_1442.csv,0.2,0.6,1.5,0.75,131,2,0.675,0.755,268.6,66.8,730.9,118.4,69.10000000000002
neff_low_ratio=0.4,1,pdr_log_0805_1438.csv,0.4,0.6,1.5,0.75,197,23,0.408,0.657,225.7,64.4,324.9,237.8,475.1
neff_low_ratio=0.4,1,pdr_log_0805_1441.csv,0.4,0.6,1.5,0.75,143,20,0.216,0.379,125.5,50.3,296.0,223.5,504.0
neff_low_ratio=0.4,1,pdr_log_0805_1442.csv,0.4,0.6,1.5,0.75,131,2,0.689,0.766,291.0,77.2,727.5,119.9,72.5
neff_low_ratio=0.4,7,pdr_log_0805_1438.csv,0.4,0.6,1.5,0.75,197,22,0.374,0.638,209.1,49.9,364.2,236.4,435.8
neff_low_ratio=0.4,7,pdr_log_0805_1441.csv,0.4,0.6,1.5,0.75,143,19,0.293,0.457,156.3,55.3,471.7,106.0,328.3
neff_low_ratio=0.4,7,pdr_log_0805_1442.csv,0.4,0.6,1.5,0.75,131,2,0.674,0.769,292.9,33.6,730.7,114.9,69.29999999999995
neff_low_ratio=0.4,42,pdr_log_0805_1438.csv,0.4,0.6,1.5,0.75,197,24,0.394,0.637,217.5,69.3,293.9,235.0,506.1
neff_low_ratio=0.4,42,pdr_log_0805_1441.csv,0.4,0.6,1.5,0.75,143,21,0.258,0.423,144.4,61.0,235.0,225.5,565.0
neff_low_ratio=0.4,42,pdr_log_0805_1442.csv,0.4,0.6,1.5,0.75,131,2,0.673,0.762,287.7,60.1,728.8,115.5,71.20000000000005
neff_low_ratio=0.4,100,pdr_log_0805_1438.csv,0.4,0.6,1.5,0.75,197,22,0.382,0.636,212.3,53.4,371.3,238.5,428.7
neff_low_ratio=0.4,100,pdr_log_0805_1441.csv,0.4,0.6,1.5,0.75,143,19,0.235,0.403,135.5,55.1,309.5,224.6,490.5
neff_low_ratio=0.4,100,pdr_log_0805_1442.csv,0.4,0.6,1.5,0.75,131,2,0.669,0.762,292.2,51.3,729.3,117.6,70.70000000000005
neff_low_ratio=0.4,777,pdr_log_0805_1438.csv,0.4,0.6,1.5,0.75,197,22,0.381,0.631,217.0,61.6,290.3,238.3,509.7
neff_low_ratio=0.4,777,pdr_log_0805_1441.csv,0.4,0.6,1.5,0.75,143,20,0.255,0.427,145.8,56.9,277.5,222.5,522.5
neff_low_ratio=0.4,777,pdr_log_0805_1442.csv,0.4,0.6,1.5,0.75,131,2,0.664,0.746,283.5,71.5,731.3,114.7,68.70000000000005
neff_low_ratio=0.4,2024,pdr_log_0805_1438.csv,0.4,0.6,1.5,0.75,197,22,0.379,0.636,216.3,55.0,349.7,240.0,450.3
neff_low_ratio=0.4,2024,pdr_log_0805_1441.csv,0.4,0.6,1.5,0.75,143,21,0.258,0.419,145.5,68.4,309.5,224.5,490.5
neff_low_ratio=0.4,2024,pdr_log_0805_1442.csv,0.4,0.6,1.5,0.75,131,3,0.667,0.757,282.1,89.6,727.0,117.5,73.0
neff_low_ratio=0.45,1,pdr_log_0805_1438.csv,0.45,0.6,1.5,0.75,197,23,0.379,0.644,224.2,65.1,345.5,240.2,454.5
neff_low_ratio=0.45,1,pdr_log_0805_1441.csv,0.45,0.6,1.5,0.75,143,20,0.23,0.403,135.1,57.2,288.3,223.2,511.7
neff_low_ratio=0.45,1,pdr_log_0805_1442.csv,0.45,0.6,1.5,0.75,131,2,0.67,0.75,294.5,50.9,728.8,115.2,71.20000000000005
neff_low_ratio=0.45,7,pdr_log_0805_1438.csv,0.45,0.6,1.5,0.75,197,22,0.368,0.621,218.5,67.2,363.5,241.0,436.5
neff_low_ratio=0.45,7,pdr_log_0805_1441.csv,0.45,0.6,1.5,0.75,143,19,0.216,0.38,128.1,50.0,290.1,225.2,509.9
neff_low_ratio=0.45,7,pdr_log_0805_1442.csv,0.45,0.6,1.5,0.75,131,2,0.677,0.768,293.4,60.5,734.5,122.4,65.5
neff_low_ratio=0.45,42,pdr_log_0805_1438.csv,0.45,0.6,1.5,0.75,197,23,0.362,0.609,217.8,49.4,341.4,238.2,458.6
neff_low_ratio=0.45,42,pdr_log_0805_1441.csv,0.45,0.6,1.5,0.75,143,19,0.244,0.407,142.5,46.1,275.3,222.5,524.7
neff_low_ratio=0.45,42,pdr_log_0805_1442.csv,0.45,0.6,1.5,0.75,131,2,0.666,0.754,297.8,35.5,729.5,115.2,70.5
neff_low_ratio=0.45,100,pdr_log_0805_1438.csv,0.45,0.6,1.5,0.75,197,22,0.395,0.637,233.9,67.2,282.9,240.7,517.1
neff_low_ratio=0.45,100,pdr_log_0805_1441.csv,0.45,0.6,1.5,0.75,143,19,0.241,0.401,138.1,57.8,261.9,223.6,538.1
neff_low_ratio=0.45,100,pdr_log_0805_1442.csv,0.45,0.6,1.5,0.75,131,2,0.688,0.779,296.7,44.1,726.7,115.5,73.29999999999995
neff_low_ratio=0.45,777,pdr_log_0805_1438.csv,0.45,0.6,1.5,0.75,197,22,0.387,0.631,224.6,61.3,344.7,236.6,455.3
neff_low_ratio=0.45,777,pdr_log_0805_1441.csv,0.45,0.6,1.5,0.75,143,20,0.227,0.39,130.2,48.6,308.3,224.4,491.7
neff_low_ratio=0.45,777,pdr_log_0805_1442.csv,0.45,0.6,1.5,0.75,131,2,0.658,0.743,288.4,61.9,730.3,115.7,69.70000000000005
neff_low_ratio=0.45,2024,pdr_log_0805_1438.csv,0.45,0.6,1.5,0.75,197,23,0.371,0.619,224.1,54.9,324.7,238.7,475.3
neff_low_ratio=0.45,2024,pdr_log_0805_1441.csv,0.45,0.6,1.5,0.75,143,18,0.289,0.463,151.1,67.6,417.6,123.5,382.4
neff_low_ratio=0.45,2024,pdr_log_0805_1442.csv,0.45,0.6,1.5,0.75,131,2,0.655,0.738,289.1,48.5,737.5,114.0,62.5
neff_high_ratio=0.45,1,pdr_log_0805_1438.csv,0.3,0.45,1.5,0.75,197,23,0.384,0.616,193.5,64.2,321.2,238.4,478.8
neff_high_ratio=0.45,1,pdr_log_0805_1441.csv,0.3,0.45,1.5,0.75,143,19,0.322,0.458,145.9,52.9,487.5,108.8,312.5
neff_high_ratio=0.45,1,pdr_log_0805_1442.csv,0.3,0.45,1.5,0.75,131,2,0.637,0.733,249.0,48.6,727.6,116.1,72.39999999999998
neff_high_ratio=0.45,7,pdr_log_0805_1438.csv,0.3,0.45,1.5,0.75,197,23,0.373,0.624,190.9,56.1,303.8,238.7,496.2
