timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,x,y
0.073,-1.8807586,5.992824,7.335796,0.0,0.0,0.0
0.14,-1.8711873,5.8396835,7.6516485,-0.10888352,-0.07742489,0.20585553
0.16,-1.7802601,5.901897,8.029715,-0.09910997,-0.0077883024,0.07269082
0.187,-1.7706888,5.9114685,8.130213,-0.09910997,-0.032222193,0.06658235
0.213,-1.6558332,6.117251,8.240283,-0.17118995,-0.07986828,0.12033691
0.233,-1.6941184,5.877969,8.14457,-0.21639264,-0.14950487,0.1007898
0.253,-1.6893328,5.6913285,7.9914293,-0.23838314,-0.14828317,0.038483378
0.275,-1.6271194,5.7391853,7.9340014,-0.22860959,-0.12629268,-0.029931515
0.296,-1.5266209,5.8061843,7.8957167,-0.16996825,-0.09575031,-0.02015796
0.317,-1.5314065,5.8301125,7.8430743,-0.10521844,-0.05054761,0.012827792
0.339,-1.5601203,5.7631135,7.967501,-0.025808297,-0.0077883024,0.05070032
0.36,-1.5744773,5.7248282,8.077571,0.025502874,0.015423893,0.073912516
0.381,-1.6175481,5.686543,8.087142,0.034054734,0.017867282,0.073912516
0.402,-1.6654046,5.619544,8.048857,0.038941514,0.023975754,0.049478628
0.424,-1.6223338,5.6674004,8.053643,0.029167956,0.039857782,0.014049487
0.445,-1.6414764,5.81097,8.125427,0.023059484,0.03130592,0.011606098
0.466,-1.6414764,5.7870417,8.14457,0.010842538,-4.5813544E-4,0.034818295
0.487,-1.5984055,5.753542,8.053643,-0.013591352,-0.010231691,0.037261683
0.509,-1.579263,5.6961145,7.919645,-0.028251685,-0.0053449133,0.010384403
0.53,-1.6414764,5.686543,7.919645,-0.03191677,0.032527618,-0.018936265
0.551,-1.5840486,5.8061843,7.9387875,-0.023364907,0.05451812,-0.027488127
0.573,-1.6127625,5.858826,7.996215,-0.014813046,0.0801737,-0.004275931
0.594,-1.6510476,5.844469,8.082356,-0.0062611843,0.09361234,0.015271181
0.615,-1.7515461,5.710471,8.292925,0.0047340663,0.06429167,0.009162709
0.636,-1.7611175,5.7391853,8.273783,-0.0038177953,0.02519745,-0.0030542363
0.656,-1.7084754,5.820541,8.173284,-0.011147963,0.016645588,-0.004275931
0.677,-1.7084754,5.8827543,8.216354,-0.022143213,0.015423893,0.02260135
0.698,-1.6749759,5.782256,8.192427,-0.019699825,0.009315421,0.048256934
0.719,-1.698904,5.7200427,8.178069,-0.011147963,-0.013896775,0.054365408
