method_key,method,section,kind,file,route,group,seed,has_ground_truth,steps,extinctions,final_x,final_y,trajectory,rmse_m,mean_error_m,max_error_m,excluded_points
A_pdr,PDRのみ,7.1,main,pdr_log_0805_1438.csv,,h0,,False,105.0,,-31.51990674894509,586.2963228388783,C:\Users\satos\i22satou\pdr_program\results\20260918_133540_evaluation_0805check\runs\A_pdr\pdr_log_0805_1438_pdr_traj_android-walking.csv,,,,
A_pdr,PDRのみ,7.1,main,pdr_log_0805_1441.csv,,h0,,False,79.0,,606.9767224623173,31.216912805045364,C:\Users\satos\i22satou\pdr_program\results\20260918_133540_evaluation_0805check\runs\A_pdr\pdr_log_0805_1441_pdr_traj_android-walking.csv,,,,
A_pdr,PDRのみ,7.1,main,pdr_log_0805_1442.csv,,h0,,False,76.0,,671.6053326544202,195.98140970622435,C:\Users\satos\i22satou\pdr_program\results\20260918_133540_evaluation_0805check\runs\A_pdr\pdr_log_0805_1442_pdr_traj_android-walking.csv,,,,
B_fixed,固定粒子数PF,7.2,main,pdr_log_0805_1438.csv,,h0,1.0,False,105.0,11.0,39.0,306.9,C:\Users\satos\i22satou\pdr_program\results\20260918_133540_evaluation_0805check\runs\B_fixed\seed-1\pdr_log_0805_1438_traj_none-manual_android-walking_pf-fixed600_seed-1.csv,,,,
B_fixed,固定粒子数PF,7.2,main,pdr_log_0805_1438.csv,,h0,7.0,False,105.0,10.0,36.2,307.5,C:\Users\satos\i22satou\pdr_program\results\20260918_133540_evaluation_0805check\runs\B_fixed\seed-7\pdr_log_0805_1438_traj_none-manual_android-walking_pf-fixed600_seed-7.csv,,,,
B_fixed,固定粒子数PF,7.2,main,pdr_log_0805_1438.csv,,h0,42.0,False,105.0,11.0,31.1,312.4,C:\Users\satos\i22satou\pdr_program\results\20260918_133540_evaluation_0805check\runs\B_fixed\seed-42\pdr_log_0805_1438_traj_none-manual_android-walking_pf-fixed600_seed-42.csv,,,,
B_fixed,固定粒子数PF,7.2,main,pdr_log_0805_1438.csv,,h0,100.0,False,105.0,9.0,35.5,309.1,C:\Users\satos\i22satou\pdr_program\results\20260918_133540_evaluation_0805check\runs\B_fixed\seed-100\pdr_log_0805_1438_traj_none-manual_android-walking_pf-fixed600_seed-100.csv,,,,
B_fixed,固定粒子数PF,7.2,main,pdr_log_0805_1438.csv,,h0,777.0,False,105.0,10.0,36.5,311.0,C:\Users\satos\i22satou\pdr_program\results\20260918_133540_evaluation_0805check\runs\B_fixed\seed-777\pdr_log_0805_1438_traj_none-manual_android-walking_pf-fixed600_seed-777.csv,,,,
B_fixed,固定粒子数PF,7.2,main,pdr_log_0805_1438.csv,,h0,2024.0,False,105.0,10.0,35.4,307.4,C:\Users\satos\i22satou\pdr_program\results\20260918_133540_evaluation_0805check\runs\B_fixed\seed-2024\pdr_log_0805_1438_traj_none-manual_android-walking_pf-fixed600_seed-2024.csv,,,,
B_fixed,固定粒子数PF,7.2,main,pdr_log_0805_1441.csv,,h0,1.0,False,79.0,0.0,592.0,58.1,C:\Users\satos\i22satou\pdr_program\results\20260918_133540_evaluation_0805check\runs\B_fixed\seed-1\pdr_log_0805_1441_traj_none-manual_android-walking_pf-fixed600_seed-1.csv,,,,
